CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
0,0,1,0,0,19.702903443619178,-53.14267589998414,-78.49117953944335,-74.80673033196908,-69.20190403391126,-49.95200722714697,-10.326086956521747,-16.24365482233503,-15.81632653061225,-2.941176470588238,-61.267605633802816,-80.0,2012-10-31,2012-10-31,2012-10-31,2012-10-31,2012-10-31,2012-10-31,No,Less Closely Related,NASDAQ
0,1,1,0,0,239.35018050541515,2698.589801444043,1113.8537906137185,-13.346119133574009,-23.510830324909747,797.721119133574,-6.66666666666666,43.636363636363654,12.727272727272739,10.909090909090919,8.484848484848492,-23.030303030303028,2012-11-30,2013-10-31,2014-10-31,2013-01-31,2015-10-31,2013-04-30,Yes,Less Closely Related,NASDAQ
1,0,0,1,0,-21.361298700113423,-55.01022382178032,-57.2177294668267,-42.701656088981856,-55.057604004896774,-62.07737926117262,0.6629834254143584,1.3573653760569637,0.9977827050997689,26.844890002784744,68.82876204595996,21.401918976545826,2012-08-31,2012-08-31,2012-08-31,2012-08-31,2012-08-31,2012-08-31,No,Closely Related,NYSE
1,1,0,1,0,40.60293759549249,140.3928729319409,29.444557994847464,-1.9767226688657473,-48.07121566058502,7.679288384997333,6.300768386388595,2.107574094401758,12.228320526893526,27.442371020856204,74.42371020856203,124.80790340285404,2012-09-30,2013-08-31,2014-08-31,2012-11-30,2015-08-31,2013-02-28,Yes,Closely Related,NYSE
0,0,0,1,0,-3.9450837876034726,-45.057280118255726,-55.93958084442345,-49.900487558312186,-34.49899496103753,-54.23404357654754,0.4174694926139981,17.203898050974512,2.1895424836601247,25.380914194065753,113.7388926862611,79.40332759609868,2012-08-31,2012-08-31,2012-08-31,2012-08-31,2012-08-31,2012-08-31,No,Less Closely Related,NYSE
0,1,0,1,0,23.553892719017995,98.69892382713974,91.35698671599125,132.60677652597948,-21.939633428619473,98.782999831848,1.854812919731378,14.870482890949798,40.2622321714103,24.720179085385354,27.630316597377668,33.802366485449326,2012-09-30,2013-08-31,2014-08-31,2012-11-30,2015-08-31,2013-02-28,Yes,Less Closely Related,NYSE
1,0,0,1,0,-8.679673033731596,-12.226663478586477,-34.05746997874871,0.7949829813027464,-26.002521636439358,-54.080982400158604,6.934557979334106,14.647956671590357,36.40890451083772,42.63399693721287,183.96341463414637,312.1238938053097,2013-01-31,2013-01-31,2013-01-31,2013-01-31,2013-01-31,2013-01-31,No,Closely Related,NYSE
1,1,0,1,0,343.2126749161559,224.07411690631304,30.29926885368079,65.98666204078486,20.46592909551161,104.64875422432958,2.254670388662223,18.53124328967147,34.37835516426884,51.62121537470475,112.69057333047026,144.64247369551217,2013-02-28,2014-01-31,2015-01-31,2013-04-30,2016-01-31,2013-07-31,Yes,Closely Related,NYSE
0,0,0,0,1,-29.3945949910161,49.19262358592903,29.665445533886437,150.3744928742328,65.74104360700329,-21.07912253664295,6.086956521739122,6.918819188191883,11.4959114959115,18.44660194174757,21.935823250920556,41.96472317491426,2013-01-31,2013-01-31,2013-01-31,2013-01-31,2013-01-31,2013-01-31,No,Less Closely Related,Other
0,1,0,0,1,-47.50503770488398,-1.9475663211251222,-45.156532397116564,-3.7227081039532997,6.407752872011136,421.5800735401043,1.6393442622950776,8.8006902502157,14.710957722174289,17.98964624676446,29.729939603106132,20.578084555651422,2013-02-28,2014-01-31,2015-01-31,2013-04-30,2016-01-31,2013-07-31,Yes,Less Closely Related,Other
