Sharing Economy Firm,Incumbent Firms,Ticker,Exchange,CI,Market Index,ISF,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),SP_End(t=1),SP_End(t=12),SP_End(t=24),SP_End(t=3),SP_End(t=36),SP_End(t=6),SP_Start(t=1),SP_Start(t=12),SP_Start(t=24),SP_Start(t=3),SP_Start(t=36),SP_Start(t=6),Volume_End(t=1),Volume_End(t=12),Volume_End(t=24),Volume_End(t=3),Volume_End(t=36),Volume_End(t=6),Volume_Start(t=1),Volume_Start(t=12),Volume_Start(t=24),Volume_Start(t=3),Volume_Start(t=36),Volume_Start(t=6),S&P500_End(t=1),S&P500_End(t=12),S&P500_End(t=24),S&P500_End(t=3),S&P500_End(t=36),S&P500_End(t=6),S&P500_Start(t=1),S&P500_Start(t=12),S&P500_Start(t=24),S&P500_Start(t=3),S&P500_Start(t=36),S&P500_Start(t=6),% Change in Share Price (t=1),% Change in Share Price (t=3),% Change in Share Price (t=6),% Change in Share Price (t=12),% Change in Share Price (t=24),% Change in Share Price (t=36),% Change in Volume (t=1),% Change in Volume (t=3),% Change in Volume (t=6),% Change in Volume (t=12),% Change in Volume (t=24),% Change in Volume (t=36),% Change in S&P500 (t=1),% Change in S&P500 (t=3),% Change in S&P500 (t=6),% Change in S&P500 (t=12),% Change in S&P500 (t=24),% Change in S&P500 (t=36),NASDAQ,NYSE,Other,Sharing Firm Introduced,Relatedness with Sharing Firm
Boatsetter,Casi Pharmaceuticals,CASI,NASDAQ,0,IXIC,0,10/31/12,10/31/12,10/31/12,10/31/12,10/31/12,10/31/12,1.65,1.65,1.65,1.65,1.65,1.65,1.84,1.7,4.26,1.97,8.25,1.96,8864,8864,8864,8864,8864,8864,7405,35184,28781,18917,17711,41211,1412.16,1412.16,1412.16,1412.16,1412.16,1412.16,1440.67,1253.3,1183.26,1379.32,1036.2,1397.91,-10.32608696,-16.24365482,-15.81632653,-2.941176471,-61.26760563,-80,19.70290344,-53.1426759,-78.49117954,-74.80673033,-69.20190403,-49.95200723,-1.978940354,2.380883334,1.01937893,12.67533711,19.34486081,36.28257093,1,0,0,No,Less Closely Related
Boatsetter,Casi Pharmaceuticals,CASI,NASDAQ,0,IXIC,1,11/30/12,10/31/13,10/31/14,1/31/13,10/31/15,4/30/13,1.54,1.83,1.79,2.37,1.27,1.86,1.65,1.65,1.65,1.65,1.65,1.65,30080,7681,6780,248067,79574,107596,8864,8864,8864,8864,8864,8864,1416.18,1756.54,2018.05,1498.11,2079.36,1597.57,1412.16,1412.16,1412.16,1412.16,1412.16,1412.16,-6.666666667,43.63636364,12.72727273,10.90909091,8.484848485,-23.03030303,239.3501805,2698.589801,1113.853791,-13.34611913,-23.51083032,797.7211191,0.284670292,6.086420802,13.12953206,24.38675504,42.90519488,47.2467709,1,0,0,Yes,Less Closely Related
Crowdmed,CVS,CVS,NYSE,1,NYA,0,8/31/12,8/31/12,8/31/12,8/31/12,8/31/12,8/31/12,45.55,45.55,45.55,45.55,45.55,45.55,45.25,35.91,26.98,44.94,37.52,45.1,4652853,4652853,4652853,4652853,4652853,4652853,5916747,8120397,10352926,10342023,12269334,10875657,1406.58,1406.58,1406.58,1406.58,1406.58,1406.58,1379.32,1218.89,1049.33,1310.33,1020.63,1365.68,0.662983425,1.357365376,0.997782705,26.84489,68.82876205,21.40191898,-21.3612987,-55.01022382,-57.21772947,-42.70165609,-55.057604,-62.07737926,1.976336166,7.345477857,2.994845059,15.39843628,34.04553382,37.81487905,0,1,0,No,Closely Related
Crowdmed,CVS,CVS,NYSE,1,NYA,1,9/30/12,8/31/13,8/31/14,11/30/12,8/31/15,2/28/13,48.42,58.05,79.45,46.51,102.4,51.12,45.55,45.55,45.55,45.55,45.55,45.55,6542048,4560879,2416170,11185127,5010159,6022865,4652853,4652853,4652853,4652853,4652853,4652853,1440.67,1632.97,2003.37,1416.18,1972.18,1514.68,1406.58,1406.58,1406.58,1406.58,1406.58,1406.58,6.300768386,2.107574094,12.22832053,27.44237102,74.42371021,124.8079034,40.6029376,140.3928729,29.44455799,-1.976722669,-48.07121566,7.679288385,2.423609038,0.682506505,7.685307626,16.09506747,42.42844346,40.21100826,0,1,0,Yes,Closely Related
Crowdmed,Team Inc.,TISI,NYSE,0,NYA,0,8/31/12,8/31/12,8/31/12,8/31/12,8/31/12,8/31/12,31.27,31.27,31.27,31.27,31.27,31.27,31.14,24.94,14.63,26.68,17.43,30.6,47576,47576,47576,47576,47576,47576,49530,94963,72634,86592,103955,107979,1406.58,1406.58,1406.58,1406.58,1406.58,1406.58,1379.32,1218.89,1049.33,1310.33,1020.63,1365.68,0.417469493,17.20389805,2.189542484,25.38091419,113.7388927,79.4033276,-3.945083788,-45.05728012,-55.93958084,-49.90048756,-34.49899496,-54.23404358,1.976336166,7.345477857,2.994845059,15.39843628,34.04553382,37.81487905,0,1,0,No,Less Closely Related
Crowdmed,Team Inc.,TISI,NYSE,0,NYA,1,9/30/12,8/31/13,8/31/14,11/30/12,8/31/15,2/28/13,31.85,39,39.91,35.92,41.84,43.86,31.27,31.27,31.27,31.27,31.27,31.27,58782,110665,37138,94533,94573,91040,47576,47576,47576,47576,47576,47576,1440.67,1632.97,2003.37,1416.18,1972.18,1514.68,1406.58,1406.58,1406.58,1406.58,1406.58,1406.58,1.85481292,14.87048289,40.26223217,24.72017909,27.6303166,33.80236649,23.55389272,98.69892383,91.35698672,132.6067765,-21.93963343,98.78299983,2.423609038,0.682506505,7.685307626,16.09506747,42.42844346,40.21100826,0,1,0,Yes,Less Closely Related
Doordash,Dominos,DPZ,NYSE,1,NYA,0,1/31/13,1/31/13,1/31/13,1/31/13,1/31/13,1/31/13,46.57,46.57,46.57,46.57,46.57,46.57,43.55,32.65,16.4,40.62,11.3,34.14,389115,389115,389115,389115,389115,389115,426099,386046,525849,443318,847394,590082,1498.11,1498.11,1498.11,1498.11,1498.11,1498.11,1426.19,1312.41,1286.12,1412.16,1073.87,1379.32,6.934557979,14.64795667,36.40890451,42.63399694,183.9634146,312.1238938,-8.679673034,-12.22666348,-34.05746998,0.794982981,-26.00252164,-54.0809824,5.042806358,6.086420802,8.612214714,14.14954168,16.48290984,39.50571298,0,1,0,No,Closely Related
Doordash,Dominos,DPZ,NYSE,1,NYA,1,2/28/13,1/31/14,1/31/15,4/30/13,1/31/16,7/31/13,47.62,70.61,99.05,55.2,113.93,62.58,46.57,46.57,46.57,46.57,46.57,46.57,1724607,645879,468751,1261021,796319,507014,389115,389115,389115,389115,389115,389115,1514.68,1782.59,1994.99,1597.57,1940.24,1685.73,1498.11,1498.11,1498.11,1498.11,1498.11,1498.11,2.254670389,18.53124329,34.37835516,51.62121537,112.6905733,144.6424737,343.2126749,224.0741169,30.29926885,65.98666204,20.4659291,104.6487542,1.106060303,6.639031847,12.52377996,18.9892598,33.16712391,29.51251911,0,1,0,Yes,Closely Related
Doordash,Invesco Dynamic Large Cap Value ETF,PWV,NYSEARCA,0,NYA,0,1/31/13,1/31/13,1/31/13,1/31/13,1/31/13,1/31/13,23.18,23.18,23.18,23.18,23.18,23.18,21.85,19.57,19.01,21.68,16.328,20.79,96274,96274,96274,96274,96274,96274,136355,38452,58087,64530,121988,74248,1498.11,1498.11,1498.11,1498.11,1498.11,1498.11,1426.19,1312.41,1286.12,1412.16,1073.87,1379.32,6.086956522,6.918819188,11.4959115,18.44660194,21.93582325,41.96472317,-29.39459499,49.19262359,29.66544553,150.3744929,65.74104361,-21.07912254,5.042806358,6.086420802,8.612214714,14.14954168,16.48290984,39.50571298,0,0,1,No,Less Closely Related
Doordash,Invesco Dynamic Large Cap Value ETF,PWV,NYSEARCA,0,NYA,1,2/28/13,1/31/14,1/31/15,4/30/13,1/31/16,7/31/13,23.56,27.35,30.0714,25.22,27.95,26.59,23.18,23.18,23.18,23.18,23.18,23.18,50539,92690,102443,94399,502146,52800,96274,96274,96274,96274,96274,96274,1514.68,1782.59,1994.99,1597.57,1940.24,1685.73,1498.11,1498.11,1498.11,1498.11,1498.11,1498.11,1.639344262,8.80069025,14.71095772,17.98964625,29.7299396,20.57808456,-47.5050377,-1.947566321,-45.1565324,-3.722708104,6.407752872,421.5800735,1.106060303,6.639031847,12.52377996,18.9892598,33.16712391,29.51251911,0,0,1,Yes,Less Closely Related
