CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice
1,0,1,0,0,-27.602685569044795,-28.601259259796404,-12.90630132520312,63.01780291204268,8.87682959136367,-14.281477715641408,-17.27269010243845,-36.49265641486246
1,1,1,0,0,219.55935785117583,-45.71757508620999,150.5874466934428,12.873300057201288,-7.5151409160206715,-40.4822281953701,-49.805154564705795,-14.643252264959381
0,0,0,1,0,-28.898356613692716,23.709986809638533,25.032662605102097,43.31573873222464,4.152021089630916,-31.725230414746548,-43.08523409363746,-52.44734202607824
0,1,0,1,0,-19.983171240198875,247.87731710776293,696.6471975518135,544.3522469085142,-23.834634043450745,-89.0951276102088,-95.19088799831259,-69.92195739295506
1,0,0,0,1,-96.74166297190094,-94.92678979304083,-98.50129955805446,-94.11373658568051,-7.085187145676687,-17.5691882804576,-20.09324522139395,-33.14686760225175
1,1,0,0,1,439.49771689497715,1400.8097412480975,777.6377473363775,1776.468797564688,8.11722623316061,16.709482168914043,12.054699363167947,-8.992526171108103
0,0,1,0,0,-4.792522331153048,-23.252609067371942,-15.00638364071368,-7.459216989562586,8.291457286432172,21.06741573033708,50.6993006993007,87.63604701784938
0,1,1,0,0,-36.853067407220394,-31.670032819994955,41.97677354203484,-4.929941933855087,-0.3480278422273749,-9.860788863109049,-19.025522041763345,62.5290023201856
1,0,0,1,0,-16.726047199428088,20.885960757087602,-27.59712766195524,-54.0908941100646,4.242156429518342,7.276034561164173,-10.2700646633701,33.578708946772366
1,1,0,1,0,-32.34769187204741,-17.742044840438155,45.05530772712861,11.558587105432661,9.241203899957608,53.28529037727849,34.20941076727427,91.30987706655364
0,0,0,1,0,2.262925032246368,-28.210877549839047,-22.1245838320141,-44.197872332183415,11.453161204899043,34.78783026421137,23.017902813299234,13.29071332436071
0,1,0,1,0,-15.55018468450909,93.8911266529357,12.986015027877562,-9.986099934157583,4.692604692604687,7.514107514107517,8.494208494208493,24.85892485892485
1,0,0,1,0,-21.361298700113423,-55.01022382178032,-57.2177294668267,-42.701656088981856,0.6629834254143584,1.3573653760569637,0.9977827050997689,26.844890002784744
1,1,0,1,0,40.60293759549249,140.3928729319409,29.444557994847464,-1.9767226688657473,6.300768386388595,2.107574094401758,12.228320526893526,27.442371020856204
0,0,0,1,0,-52.57362876315248,-52.21811866957468,-27.66563396468225,-40.84718577778323,-0.748616638948252,9.099635339288806,12.947057237308604,25.711284397040913
0,1,0,1,0,-3.4442673357694837,41.822072159299,14.75207343704305,13.52690291615346,4.148889606111926,4.861593148849826,14.710784725507454,18.230974308186806
1,0,0,1,0,-8.679673033731596,-12.226663478586477,-34.05746997874871,0.7949829813027464,6.934557979334106,14.647956671590357,36.40890451083772,42.63399693721287
1,1,0,1,0,343.2126749161559,224.07411690631304,30.29926885368079,65.98666204078486,2.254670388662223,18.53124328967147,34.37835516426884,51.62121537470475
0,0,1,0,0,11.594400923058238,418.2612987379257,113.41675860867547,12.17513391426435,11.181923522595593,18.456790123456805,17.29828850855747,10.034403669724771
0,1,1,0,0,-46.62539963267805,-62.912727025372426,-39.14971770627849,29.57077749812938,7.139134966128179,11.099531005732146,48.30640958832725,41.63626889004689
1,0,0,1,0,-66.19039974313694,-43.52373290426388,-57.43734842360549,-56.07008760951189,1.9433085177029847,-1.4062130277524205,22.80842105263158,-32.90623849834376
1,1,0,1,0,232.5735992402659,508.83190883190883,78.86989553656221,-49.24026590693257,-18.572359173038024,-38.09442177803682,-33.80875647135461,-13.33356190214969
0,0,0,1,0,74.9003984063745,-62.27712137486574,-59.5205163669894,-41.85430463576159,5.564645385334571,5.748260636874501,1.8459159512265737,-0.8172549019607884
0,1,0,1,0,-18.906605922551254,12.24373576309795,313.5535307517084,125.26575550493546,-7.083774850147871,-1.1529519682424165,11.86164576381091,30.47810340192001
1,0,0,1,0,-5.003692762186115,-8.108590819789248,61.361141602634476,-25.342813610970033,12.813278008298754,26.10389610389611,44.7710330138445,59.51654541187514
1,1,0,1,0,-29.69387755102041,11.7444120505345,-56.545189504373184,-12.026239067055394,8.900985728998084,0.9857289980873941,10.048550831249079,7.400323672208329
0,0,0,1,0,87.72825062674467,-5.507526535287906,60.32555879494655,-25.266667138539507,1.967421197376771,-5.192761605035406,-9.159442140972482,-8.642911296436685
0,1,0,1,0,-35.447605697833005,29.32546597969389,-1.1431656311562357,5.382444309743901,2.3858921161825695,-9.087136929460586,-2.9045643153527085,-0.0622406639004173
1,0,0,1,0,45.41018201002374,635.981308411215,115.33203125,177.14932126696831,-6.071208067503607,-0.566448801742915,2.8159495381842756,-1.7649591046061133
1,1,0,1,0,-15.854875283446713,-62.98412698412699,-61.4421768707483,-5.687074829931973,-3.045574057843998,2.1691498685363757,-10.210341805433838,-19.675723049956186
0,0,0,1,0,-36.26058648820409,403.92207126377855,7.43015782800682,-10.277592675423783,8.507392776757618,14.898389149804666,29.41505087159002,55.5099446332248
0,1,0,1,0,-52.40105809339709,-61.05809339709024,-62.426493030827146,-33.796927459558454,-5.013122056132605,-11.53403903381937,-14.587447903336098,5.314528236296338
1,0,0,1,0,389.21854779394647,-40.829973008550105,68.36726070439431,25.412054267324002,-5.746251957932407,22.390748489074845,44.560367904454665,202.4484813671286
1,1,0,1,0,-38.087259897072066,-49.7624483849773,-71.70166980753704,-13.525835938566763,6.573761929632958,7.003466122216418,7.988699491951949,5.3677413228241715
